payment_id,payment_date,afm,declaration_id,amount_eur,payment_method,channel,status,region
PAY-2025-000052,2025-01-20,100444444,223,5218.02,Credit Card,Phone,Failed,Κεντρική Μακεδονία
PAY-2025-000053,2025-07-17,102111111,98,3858.1,ΔΟΥ Ταμείο,Online,Failed,Κρήτη
PAY-2025-000054,2025-07-06,101555555,36,14235.67,Credit Card,Mobile App,Failed,Κεντρική Μακεδονία
PAY-2025-000055,2025-06-03,101888888,159,10020.05,Credit Card,Phone,Failed,Ιόνια Νησιά
PAY-2025-000056,2025-10-11,100555555,99,6335.67,ΔΟΥ Ταμείο,Branch,Failed,Ιόνια Νησιά
PAY-2025-000057,2025-07-27,101999999,1,4592.93,Debit Card,Phone,Failed,Πελοπόννησος
PAY-2025-000058,2025-08-27,101666666,227,10150.63,e-ΕΦΚΑ,Phone,Failed,Θεσσαλία
PAY-2025-000059,2025-02-13,101111111,264,9974.61,e-ΕΦΚΑ,Mobile App,pending ,Κρήτη
PAY-2025-000060,2025-06-08,100888888,102,2252.94,Web Banking,Branch,Pending,Κεντρική Μακεδονία
PAY-2025-000061,2025-08-22,101555555,295,2956.81,ΔΟΥ Ταμείο,Phone,Pending,Κρήτη
PAY-2025-000062,2025-03-17,100111111,55,11687.39,Debit Card,Branch,Failed,Ήπειρος
PAY-2025-000063,2025-01-26,101999999,128,13766.18,Web Banking,Phone,Confirmed,Ήπειρος
PAY-2025-000064,2025-09-29,101999999,163,14253.09,ΔΟΥ Ταμείο,Phone,Failed,Ήπειρος
PAY-2025-000065,2025-03-23,101777777,231,3924.91,Debit Card,Mobile App,Failed,Ήπειρος
PAY-2025-000066,2025-11-17,100888888,141,6626.1,Credit Card,Branch,Pending,Πελοπόννησος
PAY-2025-000067,2025-06-13,101999999,42,2118.69,Debit Card,Phone,Failed,Θεσσαλία
PAY-2025-000068,2025-04-20,100333333,213,-6143.61,e-ΕΦΚΑ,Phone,Pending,Αττική
PAY-2025-000069,2025-04-16,101555555,200,13577.34,e-ΕΦΚΑ,Online,Failed,Δυτική Ελλάδα
PAY-2025-000070,2025-09-02,100111111,181,4514.26,ΔΟΥ Ταμείο,Phone,Failed,Κρήτη
PAY-2025-000071,2025-09-07,100888888,140,6565.75,Web Banking,Phone,Pending,Δυτική Ελλάδα
PAY-2025-000072,2025-03-26,101666666,66,14711.79,e-ΕΦΚΑ,Online,Pending,Αττική
PAY-2025-000073,2025-02-12,101555555,70,13009.43,Debit Card,Online,Pending,Δυτική Ελλάδα
PAY-2025-000074,2025-06-17,100777777,233,4936.34,ΔΟΥ Ταμείο,Mobile App,Pending,Ιόνια Νησιά
PAY-2025-000075,2025-02-11,101777777,10,11247.91,Web Banking,Mobile App,Confirmed,Κεντρική Μακεδονία
PAY-2025-000076,2025-01-21,100111111,127,3030.44,Web Banking,Branch,Confirmed,Θεσσαλία
PAY-2025-000077,2025-08-31,100444444,289,14218.97,ΔΟΥ Ταμείο,Mobile App,Pending,Θεσσαλία
PAY-2025-000078,2025-11-07,102222222,59,11677.99,Debit Card,Mobile App,Confirmed,Αττική
PAY-2025-000178,2025-06-09,102111111,193,5979.98,Debit Card,Online,Failed,Κρήτη
PAY-2025-000080,2025-02-22,101111111,62,11953.6,e-ΕΦΚΑ,Online,Pending,Δυτική Ελλάδα
PAY-2025-000081,2025-07-09,100333333,260,9730.77,Web Banking,Phone,Pending,Κεντρική Μακεδονία
PAY-2025-000082,2025-08-10,101333333,236,10624.26,ΔΟΥ Ταμείο,Branch,Failed,Ιόνια Νησιά
PAY-2025-000083,2025-11-12,101999999,248,6999.86,e-ΕΦΚΑ,Mobile App,Pending,Κρήτη
PAY-2025-000084,2025-02-14,100999999,231,3695.76,ΔΟΥ Ταμείο,Phone,Pending,Αττική
PAY-2025-000085,2025-09-11,,94,7338.87,Credit Card,Mobile App,Pending,Ιόνια Νησιά
PAY-2025-000086,2025-11-02,100999999,285,201.76,Debit Card,Online,Confirmed,Δυτική Ελλάδα
PAY-2025-000087,2025-09-08,101999999,124,10374.61,ΔΟΥ Ταμείο,Phone,Confirmed,Κεντρική Μακεδονία
PAY-2025-000088,2025-05-31,100888888,208,10392.22,Credit Card,Mobile App,Pending,Πελοπόννησος
PAY-2025-000089,2025-08-06,101999999,170,5309.57,ΔΟΥ Ταμείο,Mobile App,Pending,Ιόνια Νησιά
PAY-2025-000090,2025-04-29,100444444,99,4767.44,e-ΕΦΚΑ,Branch,Confirmed,Κρήτη
PAY-2025-000091,2025-09-05,100999999,269,8972.02,Web Banking,Branch,Pending,Κρήτη
PAY-2025-000092,2025-07-04,100666666,155,261.52,e-ΕΦΚΑ,Branch,Pending,Αττική
PAY-2025-000093,2025-01-28,101999999,150,10476.39,Debit Card,Phone,Confirmed,Αττική
PAY-2025-000094,2025-10-21,101111111,241,7206.78,Credit Card,Branch,Confirmed,Ιόνια Νησιά
PAY-2025-000095,2025-09-02,,34,6040.58,Web Banking,Online,Confirmed,Θεσσαλία
PAY-2025-000096,2025-10-16,101111111,44,14909.08,Web Banking,Phone,Failed,Κρήτη
PAY-2025-000097,2025-09-25,101444444,231,13632.14,Credit Card,Phone,Pending,Αττική
PAY-2025-000098,2025-11-09,100444444,107,9401.45,Credit Card,Online,Confirmed,Κρήτη
PAY-2025-000099,2025-03-30,101999999,39,2390.16,ΔΟΥ Ταμείο,Phone,Failed,Ήπειρος
PAY-2025-000100,2025-05-30,100222222,119,4357.17,Credit Card,Phone,Confirmed,Κρήτη
PAY-2025-000101,2025-05-16,102111111,102,6405.83,e-ΕΦΚΑ,Branch,Failed,Θεσσαλία
PAY-2025-000102,2025-05-17,100555555,37,941.59,Credit Card,Mobile App,Pending,Κεντρική Μακεδονία
PAY-2025-000103,2025-08-28,101111111,207,14143.01,e-ΕΦΚΑ,Phone,Pending,Κεντρική Μακεδονία
PAY-2025-000104,2025-11-03,100222222,222,11031.28,e-ΕΦΚΑ,Mobile App,Confirmed,Κεντρική Μακεδονία
PAY-2025-000105,2025-04-28,102111111,11,14993.61,Credit Card,Online,Confirmed,Ήπειρος
PAY-2025-000106,2025-09-23,101666666,143,2763.26,e-ΕΦΚΑ,Phone,Failed,Ήπειρος
PAY-2025-000107,2025-02-16,,179,6154.8,Credit Card,Online,Confirmed,Πελοπόννησος
PAY-2025-000108,2025-07-30,101777777,148,9955.62,ΔΟΥ Ταμείο,Online,Pending,Κεντρική Μακεδονία
PAY-2025-000109,2025-06-11,100999999,166,1783.03,ΔΟΥ Ταμείο,Online,Failed,Ήπειρος
PAY-2025-000110,2025-07-31,100222222,97,7800.67,e-ΕΦΚΑ,Phone,Failed,Ήπειρος
PAY-2025-000111,2025-01-27,100777777,137,8260.83,Credit Card,Phone,Failed,Ήπειρος
PAY-2025-000112,2025-03-04,100111111,123,10661.25,Credit Card,Online,Failed,Δυτική Ελλάδα
PAY-2025-000113,2025-02-17,100888888,59,6948.65,Web Banking,Branch,Pending,Ιόνια Νησιά
PAY-2025-000114,2025-09-18,100999999,213,12529.12,ΔΟΥ Ταμείο,Branch,Pending,Θεσσαλία
PAY-2025-000115,2025-07-16,100777777,261,11207.07,Debit Card,Online,Pending,Δυτική Ελλάδα
PAY-2025-000116,2025-06-24,101888888,137,12317.21,Credit Card,Mobile App,Failed,Ήπειρος
PAY-2025-000117,2025-03-18,101666666,276,7290.9,Credit Card,Phone,Pending,Πελοπόννησος
PAY-2025-000118,2025-04-07,100888888,293,5775.41,ΔΟΥ Ταμείο,Online,Pending,Ήπειρος
PAY-2025-000119,2025-07-15,101444444,78,7455.16,Web Banking,Branch,Failed,Πελοπόννησος
PAY-2025-000120,2025-02-21,101666666,52,7912.97,ΔΟΥ Ταμείο,Online,Failed,Θεσσαλία
PAY-2025-000121,2025-07-29,100555555,39,7068.88,Credit Card,Mobile App,Failed,Δυτική Ελλάδα
PAY-2025-000122,2025-02-11,,274,-5731.14,Credit Card,Phone,Failed,Αττική
PAY-2025-000123,2025-11-13,100333333,121,9485.86,Credit Card,Branch,Failed,Κεντρική Μακεδονία
PAY-2025-000124,2025-08-11,100444444,52,6682.99,Credit Card,Online,Confirmed,Πελοπόννησος
PAY-2025-000125,2025-01-29,101111111,184,5653.87,Debit Card,Branch,Failed,Δυτική Ελλάδα
PAY-2025-000126,2025-10-17,100666666,88,2667.29,e-ΕΦΚΑ,Phone,Failed,Κρήτη
PAY-2025-000127,2025-09-12,102111111,74,3521.22,Credit Card,Phone,Pending,Αττική
PAY-2025-000128,2025-08-27,101111111,280,2411.74,ΔΟΥ Ταμείο,Mobile App,Failed,Ιόνια Νησιά
PAY-2025-000129,2025-11-24,101555555,129,6879.7,Credit Card,Branch,Pending,Ήπειρος
PAY-2025-000130,2025-02-24,100888888,196,8600.24,e-ΕΦΚΑ,Mobile App,Failed,Ιόνια Νησιά
PAY-2025-000131,2025-01-12,101444444,141,171.06,Web Banking,Phone,Pending,Κρήτη
PAY-2025-000132,2025-11-07,101333333,113,9567.44,e-ΕΦΚΑ,Mobile App,Failed,Θεσσαλία
PAY-2025-000133,2025-11-18,100444444,21,4668.55,ΔΟΥ Ταμείο,Online,Failed,Πελοπόννησος
PAY-2025-000134,2025-03-09,100333333,152,4934.45,ΔΟΥ Ταμείο,Branch,Confirmed,Θεσσαλία
PAY-2025-000135,2025-10-04,101333333,272,7551.83,Credit Card,Branch,Pending,Ήπειρος
PAY-2025-000136,2025-06-01,101222222,59,7051.55,Web Banking,Branch,Confirmed,Δυτική Ελλάδα
PAY-2025-000137,2025-10-13,101333333,47,11870.7,Web Banking,Mobile App,Failed,Κεντρική Μακεδονία
PAY-2025-000138,2025-08-21,101333333,135,8789.17,Credit Card,Online,Failed,Κρήτη
PAY-2025-000139,2025-08-30,100111111,288,4953.69,e-ΕΦΚΑ,Branch,Failed,Κεντρική Μακεδονία
PAY-2025-000140,2025-11-22,101666666,155,9756.13,Web Banking,Branch,Confirmed,Αττική
PAY-2025-000141,2025-06-05,101777777,60,1503.02,e-ΕΦΚΑ,Branch,Pending,Ήπειρος
PAY-2025-000142,2025-07-09,101999999,215,8830.74,Debit Card,Phone,Failed,Κεντρική Μακεδονία
PAY-2025-000143,2025-09-08,102222222,209,14088.84,Credit Card,Online,Failed,Πελοπόννησος
PAY-2025-000144,2025-04-22,101666666,228,14260.8,Credit Card,Online,Failed,Πελοπόννησος
PAY-2025-000145,2025-10-06,101333333,32,6002.19,Debit Card,Online,Pending,Κεντρική Μακεδονία
PAY-2025-000146,2025-04-19,102222222,11,806.15,Credit Card,Branch,Confirmed,Κρήτη
PAY-2025-000147,2025-02-05,101999999,107,8816.43,Debit Card,Mobile App,Confirmed,Αττική
PAY-2025-000148,2025-05-22,100555555,67,8126.22,Debit Card,Online,??,Αττική
PAY-2025-000149,2025-03-09,100111111,184,11860.27,Debit Card,Mobile App,pending ,Θεσσαλία
PAY-2025-000225,2025-05-16,100222222,65,11138.68,e-ΕΦΚΑ,Online,Failed,Κεντρική Μακεδονία
PAY-2025-000151,2025-09-01,101666666,186,7722.91,Web Banking,Phone,Failed,Κρήτη
PAY-2025-000152,2025-11-11,100222222,267,4559.37,Web Banking,Online,Pending,Δυτική Ελλάδα
PAY-2025-000153,2025-08-07,100444444,252,10700.4,ΔΟΥ Ταμείο,Online,Confirmed,Πελοπόννησος
PAY-2025-000154,2025-11-08,100555555,34,1936.56,e-ΕΦΚΑ,Mobile App,Pending,Ιόνια Νησιά
PAY-2025-000155,2025-08-21,101888888,221,1532.72,Web Banking,Branch,Pending,Ήπειρος
PAY-2025-000156,2025-04-27,101555555,174,12419.92,ΔΟΥ Ταμείο,Phone,Failed,Κεντρική Μακεδονία
PAY-2025-000157,2025-06-10,101555555,161,9993.36,Credit Card,Branch,Failed,Ήπειρος
PAY-2025-000158,2025-02-04,100333333,44,1443.79,Web Banking,Mobile App,Confirmed,Αττική
PAY-2025-000159,2025-10-28,101999999,288,4978.21,Web Banking,Phone,Pending,Δυτική Ελλάδα
PAY-2025-000160,2025-01-27,101111111,160,5307.11,e-ΕΦΚΑ,Branch,Confirmed,Ήπειρος
PAY-2025-000161,2025-04-25,100444444,180,12688.33,Credit Card,Online,Pending,Κρήτη
PAY-2025-000162,2025-08-08,101999999,286,442.49,Credit Card,Online,Confirmed,Ιόνια Νησιά
PAY-2025-000163,2025-06-08,101222222,180,141.28,Debit Card,Phone,Confirmed,Θεσσαλία
PAY-2025-000164,2025-11-21,100111111,47,11204.37,Debit Card,Phone,Pending,Ήπειρος
PAY-2025-000165,2025-06-24,100666666,190,4708.98,Credit Card,Online,Confirmed,Θεσσαλία
PAY-2025-000166,2025-03-22,102222222,26,10125.83,Credit Card,Phone,Failed,Δυτική Ελλάδα
PAY-2025-000167,2025-09-06,102222222,227,6242.05,Debit Card,Online,Pending,Δυτική Ελλάδα
PAY-2025-000168,2025-02-26,101111111,250,7927.66,  Credit Card  ,Online,Confirmed,Δυτική Ελλάδα
PAY-2025-000169,2025-11-03,100222222,4,3106.13,Debit Card,Branch,Pending,Ιόνια Νησιά
PAY-2025-000170,2025-06-17,100444444,4,7485.91,ΔΟΥ Ταμείο,Branch,Confirmed,Δυτική Ελλάδα
PAY-2025-000171,2025-09-30,100888888,257,8402.92,Credit Card,Online,Pending,Αττική
PAY-2025-000172,2025-08-12,100111111,236,13821.38,Credit Card,Phone,Failed,Δυτική Ελλάδα
PAY-2025-000173,2025-11-24,,149,1771.84,Web Banking,Mobile App,Confirmed,Ήπειρος
PAY-2025-000174,2025-07-05,100333333,224,12675.04,Debit Card,Phone,Failed,Δυτική Ελλάδα
PAY-2025-000175,2025-09-26,100333333,203,13064.34,Credit Card,Branch,Pending,Θεσσαλία
PAY-2025-000176,2025-02-09,101888888,59,7982.54,Debit Card,Mobile App,Pending,Θεσσαλία
PAY-2025-000177,2025-05-01,100444444,75,3876.72,Debit Card,Branch,Failed,Κεντρική Μακεδονία
PAY-2025-000178,2025-04-01,101777777,238,11328.97,e-ΕΦΚΑ,Phone,Failed,Πελοπόννησος
PAY-2025-000179,2025-11-18,101222222,78,6624.45,ΔΟΥ Ταμείο,Phone,Failed,Ιόνια Νησιά
PAY-2025-000180,2025-05-21,102111111,29,5311.54,Web Banking,Mobile App,Pending,Ήπειρος
PAY-2025-000181,2025-01-20,100222222,189,12483.86,Web Banking,Online,Failed,Δυτική Ελλάδα
PAY-2025-000182,2025-08-25,102111111,284,14315.76,Web Banking,Phone,Failed,Κρήτη
PAY-2025-000183,2025-06-14,102222222,244,7545.44,Web Banking,Phone,Confirmed,Πελοπόννησος
PAY-2025-000184,2025-02-13,101888888,89,635.17,ΔΟΥ Ταμείο,Phone,Failed,Θεσσαλία
PAY-2025-000185,2025-07-06,101333333,145,5841.88,Credit Card,Online,Failed,Πελοπόννησος
PAY-2025-000153,2025-02-03,101222222,49,8391.55,ΔΟΥ Ταμείο,Mobile App,Pending,Θεσσαλία
PAY-2025-000187,2025-06-20,100333333,299,9971.0,Credit Card,Mobile App,Failed,Δυτική Ελλάδα
PAY-2025-000188,2025-03-08,102222222,44,4678.25,ΔΟΥ Ταμείο,Mobile App,Confirmed,Κεντρική Μακεδονία
PAY-2025-000189,2025-11-27,101555555,261,5459.33,Credit Card,Mobile App,Confirmed,Κρήτη
PAY-2025-000190,2025-06-24,101777777,99,3436.82,Debit Card,Branch,Confirmed,Ιόνια Νησιά
PAY-2025-000191,2025-02-21,101888888,277,12535.04,e-ΕΦΚΑ,Online,Failed,Πελοπόννησος
PAY-2025-000192,2025-11-13,100555555,193,2356.08,Debit Card,Branch,Failed,Ήπειρος
PAY-2025-000193,2025-01-23,101555555,187,10161.63,Debit Card,Phone,Failed,Ιόνια Νησιά
PAY-2025-000194,2025-08-18,100888888,274,3625.57,ΔΟΥ Ταμείο,Branch,Pending,Ήπειρος
PAY-2025-000195,2025-08-25,101111111,196,7568.46,ΔΟΥ Ταμείο,Branch,Confirmed,Θεσσαλία
PAY-2025-000196,2025-05-09,100222222,247,13118.05,e-ΕΦΚΑ,Online,Failed,Κεντρική Μακεδονία
PAY-2025-000197,2025-05-26,100333333,83,4128.23,e-ΕΦΚΑ,Branch,Pending,Κεντρική Μακεδονία
PAY-2025-000198,2025-04-24,101666666,179,13960.56,ΔΟΥ Ταμείο,Online,Pending,Πελοπόννησος
PAY-2025-000199,2025-05-01,101444444,42,5654.94,  Web Banking  ,Mobile App,Confirmed,Πελοπόννησος
PAY-2025-000200,2025-03-16,100555555,20,4338.85,ΔΟΥ Ταμείο,Branch,Failed,Ήπειρος
PAY-2025-000201,2025-08-18,102222222,3,13592.57,  Web Banking  ,Mobile App,Confirmed,Θεσσαλία
PAY-2025-000202,2025-10-08,102222222,271,6377.66,Credit Card,Branch,Pending,Κεντρική Μακεδονία
PAY-2025-000203,2025-01-25,100888888,215,9602.33,e-ΕΦΚΑ,Phone,Confirmed,Κεντρική Μακεδονία
PAY-2025-000162,2025-09-13,102222222,275,295.71,e-ΕΦΚΑ,Branch,Failed,Θεσσαλία
PAY-2025-000205,2025-05-30,101555555,1,9241.4,Debit Card,Phone,Confirmed,Κεντρική Μακεδονία
PAY-2025-000206,2025-09-26,101333333,35,14303.38,e-ΕΦΚΑ,Online,Pending,Ήπειρος
PAY-2025-000207,2025-01-23,101444444,192,3842.07,Web Banking,Mobile App,Confirmed,Πελοπόννησος
PAY-2025-000208,2025-05-04,100444444,298,11041.05,Credit Card,Branch,Confirmed,Πελοπόννησος
PAY-2025-000209,2025-10-07,,90,12464.24,ΔΟΥ Ταμείο,Phone,Failed,Θεσσαλία
PAY-2025-000210,2025-03-11,100333333,235,602.91,Debit Card,Online,Confirmed,Αττική
PAY-2025-000211,2025-06-11,101111111,264,6003.45,e-ΕΦΚΑ,Phone,Pending,Αττική
PAY-2025-000212,2025-04-08,101111111,183,12938.97,Web Banking,Mobile App,Pending,Κεντρική Μακεδονία
PAY-2025-000213,2025-07-08,101555555,205,11162.45,ΔΟΥ Ταμείο,Mobile App,Confirmed,Ήπειρος
PAY-2025-000214,2025-09-12,101333333,266,4037.47,Web Banking,Phone,Confirmed,Δυτική Ελλάδα
PAY-2025-000215,2025-11-05,100666666,280,4441.81,Web Banking,Online,Pending,Ιόνια Νησιά
PAY-2025-000216,2025-06-06,101666666,219,2541.34,ΔΟΥ Ταμείο,Mobile App,Pending,Αττική
PAY-2025-000217,2025-06-30,102222222,223,4154.6,Web Banking,Online,Failed,Δυτική Ελλάδα
PAY-2025-000218,2025-07-06,101888888,82,14294.2,Debit Card,Phone,Confirmed,Θεσσαλία
PAY-2025-000219,2025-02-04,100888888,188,5464.15,e-ΕΦΚΑ,Online,Failed,Θεσσαλία
PAY-2025-000220,2025-08-19,101333333,191,6686.89,Web Banking,Branch,Failed,Πελοπόννησος
PAY-2025-000221,2025-07-23,101222222,143,3781.69,Web Banking,Online,Failed,Θεσσαλία
PAY-2025-000222,2025-09-13,101888888,199,13707.46,Web Banking,Mobile App,Pending,Ήπειρος
PAY-2025-000223,2025-04-20,102222222,147,10425.01,ΔΟΥ Ταμείο,Branch,Confirmed,Θεσσαλία
PAY-2025-000224,2025-02-07,101666666,89,13485.25,ΔΟΥ Ταμείο,Online,Failed,Πελοπόννησος
PAY-2025-000225,2025-06-27,100333333,282,8155.46,Credit Card,Branch,Failed,Θεσσαλία
PAY-2025-000226,2025-07-05,101888888,115,1864.37,Debit Card,Branch,Confirmed,Ήπειρος
PAY-2025-000227,2025-01-14,101333333,284,8605.55,ΔΟΥ Ταμείο,Branch,Failed,Κεντρική Μακεδονία
PAY-2025-000228,2025-02-03,101111111,204,14993.95,ΔΟΥ Ταμείο,Phone,Pending,Κεντρική Μακεδονία
PAY-2025-000229,2025-03-06,101222222,38,6777.12,e-ΕΦΚΑ,Mobile App,Confirmed,Θεσσαλία
PAY-2025-000230,2025-03-08,101555555,258,13665.15,Web Banking,Online,Failed,Θεσσαλία
PAY-2025-000007,2025-06-05,100666666,83,4873.78,Debit Card,Mobile App,Failed,Ιόνια Νησιά
PAY-2025-000232,2025-02-10,100999999,101,9544.1,e-ΕΦΚΑ,Mobile App,Confirmed,Ιόνια Νησιά
PAY-2025-000233,2025-11-11,101999999,48,7563.47,Debit Card,Branch,Confirmed,Πελοπόννησος
PAY-2025-000234,2025-10-16,100222222,15,1264.28,e-ΕΦΚΑ,Mobile App,Failed,Κρήτη
PAY-2025-000235,2025-10-20,101555555,16,7495.67,e-ΕΦΚΑ,Mobile App,Failed,Ιόνια Νησιά
PAY-2025-000236,2025-09-05,100888888,208,4496.64,Web Banking,Online,Confirmed,Ήπειρος
PAY-2025-000237,2025-08-01,101777777,238,3100.14,e-ΕΦΚΑ,Branch,Pending,Πελοπόννησος
PAY-2025-000238,2025-06-26,101444444,67,11421.94,e-ΕΦΚΑ,Online,Pending,Κρήτη
PAY-2025-000239,2025-08-27,100444444,137,6771.46,Debit Card,Online,Confirmed,Ιόνια Νησιά
PAY-2025-000240,2025-07-16,102222222,215,3761.64,Debit Card,Mobile App,Failed,Πελοπόννησος
PAY-2025-000241,2025-04-08,100666666,256,14939.74,ΔΟΥ Ταμείο,Phone,Pending,Ήπειρος
PAY-2025-000242,2025-01-12,100333333,202,7606.39,Debit Card,Branch,Failed,Πελοπόννησος
PAY-2025-000243,2025-01-25,100222222,145,7448.67,ΔΟΥ Ταμείο,Mobile App,Failed,Αττική
PAY-2025-000244,2025-02-25,101555555,69,13242.71,Credit Card,Phone,Pending,Αττική
PAY-2025-000245,2025-07-25,100222222,292,8449.16,Credit Card,Mobile App,Confirmed,Δυτική Ελλάδα
PAY-2025-000246,2025-09-16,101666666,282,4231.82,e-ΕΦΚΑ,Online,Confirmed,Κεντρική Μακεδονία
PAY-2025-000247,2025-07-21,101333333,174,8389.59,Credit Card,Branch,Confirmed,Δυτική Ελλάδα
PAY-2025-000248,2025-09-14,100222222,24,-631.76,Credit Card,Phone,Failed,Ήπειρος
PAY-2025-000249,2025-03-18,102222222,264,2139.73,  e-ΕΦΚΑ  ,Mobile App,Confirmed,Δυτική Ελλάδα
